time,count
2020-03-15,42
2020-03-16,19
2020-04-08,3
2020-04-10,8
2020-04-18,9
2020-04-22,1
2020-06-02,3
2020-06-03,4
2020-06-09,1
2020-06-10,15
2020-07-08,30
2020-07-12,1
2020-07-13,7
2020-07-28,8
2020-07-29,6
2020-07-30,4
2020-07-31,7
2020-08-02,2
2020-08-31,10
2020-09-01,10
2020-09-03,85
2020-09-04,1
2020-09-22,7
2020-10-11,6
2020-11-27,5
2020-11-28,3
2020-12-04,5
2020-12-25,7
2020-12-26,3
2020-12-27,4
2020-12-28,7
2021-01-03,11
2021-01-06,1
2021-01-13,3
2021-01-15,6
2021-02-27,1
2021-02-28,4
2021-03-06,14
2021-03-15,11
2021-03-22,2
2021-06-11,1
2021-09-04,1
2021-09-08,1
2021-10-02,1
2021-10-03,15
2021-10-04,7
2021-10-08,2
2021-10-14,3
2021-10-15,2
2021-10-16,45
2021-10-18,1
2021-10-20,11
2021-10-21,1
2021-10-23,4
2021-11-14,4
2021-11-20,2
2021-11-27,34
2021-11-30,1
2021-12-05,4
2021-12-12,1
2021-12-21,4
2022-01-17,1
2022-01-18,14
2022-01-27,3
2022-01-28,4
2022-01-31,1
2022-02-25,2
2022-02-28,4
2022-03-03,1
2022-03-05,1
2022-03-11,1
2022-03-20,1
2022-04-05,5
2022-04-06,1
2022-04-08,1
2022-05-07,2
2022-06-18,2
2022-07-10,4
2022-07-29,5
2022-08-07,1
2022-09-06,8
2022-09-10,1
2022-09-16,2
2022-09-17,2
2022-10-06,3
2022-10-11,1
2022-10-12,1
2022-10-18,2
2022-10-20,1
2022-11-09,9
2022-11-10,1
2022-11-12,1
2022-11-13,10
2022-11-14,2
2022-12-02,2
2022-12-31,13
2023-01-01,1
2023-01-02,9
2023-01-03,1
2023-01-05,2
2023-01-27,1
2023-01-28,1
2023-03-02,3
2023-03-03,8
2023-03-04,2
2023-03-06,5
2023-04-22,15
2023-04-23,4
2023-04-29,1
2023-05-15,18
2023-05-17,1
2023-05-26,2
2023-05-29,1
2023-05-30,13
2023-06-03,1
2023-06-15,2
2023-06-16,8
2023-06-18,1
2023-07-10,1
2023-07-11,2
2023-07-27,3
2023-07-28,6
2023-08-08,2
2023-08-14,3
2023-08-16,2
2023-08-30,5
2023-09-14,2
2023-09-15,1
2023-09-17,1
2023-09-22,36
2023-09-23,3
2023-09-24,2
2023-09-25,13
2023-09-26,1
2023-09-27,3
2023-09-29,2
2023-09-30,5
2023-10-01,18
2023-10-03,4
2023-10-09,13
2023-10-11,39
2023-10-20,1
2023-10-26,1
2023-11-06,4
2023-11-17,5
2023-11-25,7
2023-12-11,3
2023-12-12,5
2023-12-13,1
2023-12-14,5
2024-01-01,6
2024-01-04,1
2024-01-05,17
2024-01-06,13
2024-01-13,2
2024-01-20,2
2024-01-23,54
2024-01-25,11
2024-01-26,39
2024-01-28,4
2024-02-03,15
2024-02-06,3
2024-02-07,18
2024-02-23,6
2024-02-24,9
2024-03-16,1
2024-03-18,1
2024-03-28,4
2024-04-01,2
2024-04-02,1
2024-04-07,2
2024-04-14,323
2024-04-15,55
2024-04-16,54
2024-04-17,67
2024-04-18,2
2024-04-19,61
2024-04-20,26
2024-04-21,35
2024-04-22,54
2024-04-23,2
2024-04-24,4
2024-04-25,32
2024-04-26,13
2024-04-28,9
2024-04-29,54
2024-04-30,8
2024-05-01,3
2024-05-02,11
2024-05-03,2
2024-05-04,11
2024-05-05,23
2024-05-06,2
2024-05-08,3
2024-05-09,20
2024-05-13,6
2024-05-14,10
2024-05-15,6
2024-05-16,26
2024-05-20,10
2024-05-21,4
2024-05-26,3
2024-05-31,6
2024-06-01,152
2024-06-02,4
2024-06-03,5
2024-06-06,92
2024-06-08,32
2024-06-10,84
2024-06-16,104
2024-06-17,6
2024-06-20,25
2024-06-21,12
2024-06-23,4
2024-06-24,19
2024-06-26,20
2024-06-27,6
2024-06-28,1
2024-06-29,12
2024-07-01,16
2024-07-02,165
2024-07-03,32
2024-07-04,24
2024-07-05,53
2024-07-07,28
2024-07-08,10
2024-07-09,11
2024-07-10,4
2024-07-12,11
2024-07-13,4
2024-07-14,41
2024-07-15,2
2024-07-16,26
2024-07-17,2
2024-07-19,14
2024-07-20,3
2024-07-22,13
2024-07-23,11
2024-07-25,26
2024-07-26,47
2024-07-27,20
2024-07-29,20
2024-07-30,22
2024-08-01,4
2024-08-02,8
2024-08-03,9
2024-08-04,21
2024-08-07,2
2024-08-11,25
2024-08-13,63
2024-08-14,2
2024-08-15,38
2024-08-16,3
2024-08-17,3
2024-08-19,3
2024-08-20,77
2024-08-21,39
2024-08-24,3
2024-08-25,3
2024-08-27,17
2024-08-28,14
2024-08-29,33
2024-08-30,1
2024-08-31,22
2024-09-02,88
2024-09-03,26
2024-09-07,11
2024-09-09,25
2024-09-10,38
2024-09-11,8
2024-09-14,25
2024-09-18,131
2024-09-19,2
2024-09-27,6
2024-09-28,12
2024-09-30,85
2024-10-01,67
2024-10-04,40
2024-10-05,150
2024-10-06,32
2024-10-07,2
2024-10-08,29
2024-10-09,18
2024-10-13,26
2024-10-14,8
2024-10-15,2
2024-10-27,1
2024-11-01,13
2024-11-02,1
2024-11-03,18
2024-11-04,2
2024-11-07,20
2024-11-11,202
2024-11-12,16
2024-11-13,61
2024-11-14,12
