time,channel,count
2019-08-29,bot-shrine,47
2022-11-08,annoyncements,3
2023-04-03,annoyncements,1
2023-04-13,annoyncements,1
2021-03-24,annoyncements,2
2019-10-30,annoyncements,1
2019-04-03,annoyncements,1
2019-10-06,annoyncements,2
2019-11-13,annoyncements,1
2021-07-05,annoyncements,2
2024-10-11,annoyncements,2
2021-07-11,annoyncements,1
2024-07-24,annoyncements,1
2022-11-26,annoyncements,1
2023-06-01,annoyncements,1
2024-10-29,annoyncements,1
2023-10-31,annoyncements,4
2024-07-01,annoyncements,1
2019-03-07,annoyncements,1
2021-02-22,annoyncements,1
2023-08-15,annoyncements,3
2024-07-12,annoyncements,1
2019-08-15,bot-shrine,165
2019-11-01,bot-shrine,24
2019-10-06,bot-shrine,10
2021-10-07,annoyncements,1
2020-09-22,annoyncements,2
2023-07-18,annoyncements,1
2022-01-30,annoyncements,2
2023-11-10,annoyncements,5
2022-08-19,annoyncements,2
2019-12-31,bot-shrine,40
2022-05-29,annoyncements,4
2020-03-06,annoyncements,1
2021-10-15,annoyncements,5
2019-06-03,bot-shrine,60
2021-10-20,annoyncements,4
2020-01-27,annoyncements,2
2022-12-28,annoyncements,2
2019-06-01,bot-shrine,51
2021-07-06,annoyncements,1
2021-05-11,annoyncements,2
2020-01-21,annoyncements,2
2023-07-16,annoyncements,2
2022-05-23,annoyncements,3
2019-03-24,bot-shrine,34
2022-06-10,annoyncements,2
2021-12-11,annoyncements,4
2020-10-14,annoyncements,1
2019-12-23,bot-shrine,166
2023-10-17,annoyncements,2
2024-07-07,annoyncements,3
2019-04-12,bot-shrine,190
2021-12-31,annoyncements,2
2019-04-30,bot-shrine,50
2019-09-11,bot-shrine,128
2019-03-31,bot-shrine,55
2024-09-11,annoyncements,3
2021-09-24,annoyncements,2
2019-05-08,annoyncements,1
2021-03-25,annoyncements,3
2023-02-09,annoyncements,3
2023-10-03,annoyncements,1
2019-09-09,bot-shrine,11
2020-11-14,annoyncements,4
2023-03-23,annoyncements,1
2020-09-26,annoyncements,1
2024-06-02,annoyncements,1
2019-11-04,bot-shrine,27
2022-11-30,annoyncements,5
2019-07-17,annoyncements,1
2021-07-13,annoyncements,1
2019-07-19,annoyncements,1
2022-11-02,annoyncements,2
2023-05-17,annoyncements,1
2019-06-12,annoyncements,2
2024-02-10,annoyncements,1
2019-06-01,annoyncements,1
2023-07-23,annoyncements,2
2019-10-01,bot-shrine,12
2020-04-10,annoyncements,4
2019-08-02,annoyncements,1
2024-08-28,annoyncements,2
2024-01-28,annoyncements,3
2019-12-03,annoyncements,2
2023-11-19,annoyncements,1
2023-10-04,annoyncements,1
2022-07-03,annoyncements,2
2023-04-06,annoyncements,2
2021-03-04,annoyncements,1
2021-02-08,annoyncements,1
2023-08-11,annoyncements,1
2023-01-12,annoyncements,2
2021-03-16,annoyncements,2
2023-06-25,annoyncements,1
2019-07-01,bot-shrine,9
2022-01-31,annoyncements,1
2023-04-12,annoyncements,1
2024-11-13,annoyncements,3
2024-02-11,annoyncements,1
2019-10-21,bot-shrine,30
2024-10-19,annoyncements,2
2019-03-24,annoyncements,1
2020-07-02,annoyncements,1
2023-06-08,annoyncements,1
2021-09-13,annoyncements,1
2024-03-08,annoyncements,3
2019-12-21,annoyncements,1
2020-03-07,annoyncements,1
2019-04-06,bot-shrine,138
2019-04-10,bot-shrine,42
2020-10-20,annoyncements,1
2019-10-27,bot-shrine,183
2022-06-22,annoyncements,1
2019-04-18,bot-shrine,125
2024-10-31,annoyncements,2
2021-12-05,annoyncements,4
2019-12-25,annoyncements,2
2021-11-01,annoyncements,2
2019-11-28,bot-shrine,59
2019-06-25,bot-shrine,51
2022-01-06,annoyncements,3
2020-06-23,annoyncements,2
2021-04-12,annoyncements,1
2023-02-08,annoyncements,1
2020-05-12,annoyncements,1
2023-04-20,annoyncements,2
2023-12-17,annoyncements,2
2023-10-29,annoyncements,2
2022-08-25,annoyncements,1
2023-03-13,annoyncements,1
2024-11-06,annoyncements,1
2022-05-26,annoyncements,1
2019-08-22,annoyncements,1
2021-11-21,annoyncements,3
2019-07-18,bot-shrine,81
2024-03-04,annoyncements,2
2024-03-25,annoyncements,1
2019-08-20,annoyncements,1
2024-04-28,annoyncements,4
2020-05-01,annoyncements,1
2022-11-22,annoyncements,1
2019-11-30,annoyncements,1
2019-06-26,annoyncements,1
2020-06-07,annoyncements,2
2024-02-22,annoyncements,4
2019-07-28,annoyncements,1
2024-05-29,annoyncements,5
2019-11-05,annoyncements,1
2021-02-27,annoyncements,3
2019-05-17,bot-shrine,21
2021-11-24,annoyncements,1
2023-06-28,annoyncements,1
2019-04-14,annoyncements,1
2021-11-25,annoyncements,2
2022-09-08,annoyncements,4
2023-08-07,annoyncements,1
2023-10-12,annoyncements,1
2023-10-28,annoyncements,8
2019-04-23,annoyncements,1
2020-07-30,annoyncements,1
2020-08-17,annoyncements,1
2023-08-06,annoyncements,1
2019-05-23,annoyncements,1
2023-06-22,annoyncements,2
2020-03-30,annoyncements,1
2022-02-14,annoyncements,1
2023-11-02,annoyncements,3
2019-04-05,annoyncements,2
2021-08-01,annoyncements,4
2022-07-18,annoyncements,4
2019-04-12,annoyncements,3
2021-01-08,annoyncements,2
2020-05-24,annoyncements,1
2019-12-10,bot-shrine,53
2024-07-10,annoyncements,1
2024-05-14,annoyncements,1
2021-09-23,annoyncements,1
2024-08-16,annoyncements,1
2023-03-19,annoyncements,2
2019-11-16,bot-shrine,53
2019-04-19,bot-shrine,242
2024-01-27,annoyncements,2
2021-10-28,annoyncements,1
2021-07-30,annoyncements,2
2022-06-17,annoyncements,1
2019-12-30,annoyncements,2
2023-07-31,annoyncements,1
2023-02-22,annoyncements,2
2021-07-24,annoyncements,2
2020-08-13,annoyncements,2
2019-07-04,annoyncements,2
2024-04-10,annoyncements,1
2023-11-22,annoyncements,1
2023-07-26,annoyncements,1
2022-02-04,annoyncements,1
2021-09-06,annoyncements,1
2019-03-30,annoyncements,1
2024-06-14,annoyncements,1
2021-07-31,annoyncements,3
2019-09-16,annoyncements,2
2021-08-29,annoyncements,2
2019-12-30,bot-shrine,23
2023-02-03,annoyncements,1
2019-10-19,bot-shrine,52
2020-07-26,annoyncements,1
2023-10-21,annoyncements,2
2019-12-10,annoyncements,1
2019-08-09,bot-shrine,49
2019-05-03,annoyncements,2
2019-08-27,bot-shrine,45
2023-02-16,annoyncements,1
2022-12-05,annoyncements,5
2024-07-15,annoyncements,1
2020-11-20,annoyncements,2
2024-06-07,annoyncements,1
2020-12-18,annoyncements,2
2019-06-28,annoyncements,1
2019-11-23,annoyncements,1
2021-02-18,annoyncements,3
2021-05-09,annoyncements,1
2021-04-17,annoyncements,1
2024-08-19,annoyncements,1
2019-04-25,annoyncements,1
2024-07-27,annoyncements,1
2024-03-19,annoyncements,2
2019-12-20,bot-shrine,20
2019-09-24,annoyncements,2
2019-12-28,bot-shrine,14
2024-05-16,annoyncements,2
2020-11-05,annoyncements,2
2024-04-17,annoyncements,3
2024-03-14,annoyncements,2
2019-08-17,annoyncements,1
2019-05-01,annoyncements,1
2019-12-01,bot-shrine,53
2019-06-16,annoyncements,1
2020-02-27,annoyncements,4
2023-05-22,annoyncements,4
2023-09-22,annoyncements,7
2024-10-16,annoyncements,2
2020-03-22,annoyncements,1
2021-12-15,annoyncements,1
2020-10-19,annoyncements,1
2019-04-05,bot-shrine,183
2021-02-14,annoyncements,3
2024-05-06,annoyncements,2
2019-06-23,annoyncements,1
2021-11-14,annoyncements,1
2020-08-16,annoyncements,2
2019-12-24,annoyncements,1
2024-06-28,annoyncements,1
2019-07-08,bot-shrine,40
2022-01-26,annoyncements,5
2023-07-11,annoyncements,2
2019-10-02,annoyncements,1
2023-10-08,annoyncements,2
2019-11-02,annoyncements,2
2024-05-11,annoyncements,1
2020-04-19,annoyncements,1
2019-04-25,bot-shrine,56
2019-05-10,bot-shrine,118
2020-03-15,annoyncements,1
2021-12-24,annoyncements,4
2021-08-27,annoyncements,1
2019-09-16,bot-shrine,93
2023-10-13,annoyncements,2
2021-05-14,annoyncements,2
2019-11-22,bot-shrine,80
2019-08-03,annoyncements,1
2020-02-06,annoyncements,1
2024-10-13,annoyncements,1
2020-01-31,annoyncements,2
2022-01-19,annoyncements,3
2024-08-17,annoyncements,3
2023-12-09,annoyncements,3
2024-06-15,annoyncements,1
2020-08-12,annoyncements,1
2021-07-26,annoyncements,6
2021-07-28,annoyncements,4
2019-06-21,bot-shrine,3
2019-06-06,bot-shrine,26
2020-06-11,annoyncements,1
2021-07-01,annoyncements,1
2019-12-03,bot-shrine,23
2019-07-03,annoyncements,2
2021-12-22,annoyncements,4
2023-07-01,annoyncements,2
2023-04-08,annoyncements,2
2019-12-05,annoyncements,3
2021-08-13,annoyncements,4
2023-09-28,annoyncements,3
2020-02-08,annoyncements,2
2020-08-29,annoyncements,1
2023-08-23,annoyncements,1
2024-09-17,annoyncements,1
2019-09-01,annoyncements,1
2019-11-03,annoyncements,1
2023-08-22,annoyncements,1
2021-12-25,annoyncements,1
2023-03-15,annoyncements,1
2023-03-02,annoyncements,2
2022-01-03,annoyncements,1
2022-01-15,annoyncements,1
2020-12-17,annoyncements,3
2020-11-16,annoyncements,3
2020-02-09,annoyncements,2
2019-10-23,bot-shrine,22
2022-05-25,annoyncements,1
2021-01-21,annoyncements,1
2024-08-23,annoyncements,1
2019-11-10,bot-shrine,13
2022-05-07,annoyncements,1
2020-12-09,annoyncements,4
2019-03-23,annoyncements,1
2020-06-29,annoyncements,1
2022-07-28,annoyncements,6
2021-06-05,annoyncements,1
2022-10-28,annoyncements,1
2021-01-15,annoyncements,1
2022-04-30,annoyncements,2
2020-11-02,annoyncements,4
2021-08-06,annoyncements,4
2022-08-09,annoyncements,2
2021-05-12,annoyncements,5
2019-11-16,annoyncements,1
2023-11-26,annoyncements,1
2020-10-21,annoyncements,1
2021-10-17,annoyncements,1
2019-04-07,annoyncements,1
2024-05-25,annoyncements,3
2019-08-22,bot-shrine,61
2024-04-21,annoyncements,2
2019-06-22,annoyncements,1
2019-12-24,bot-shrine,37
2019-07-28,bot-shrine,258
2019-04-02,annoyncements,1
2023-06-04,annoyncements,2
2019-06-02,annoyncements,1
2023-09-16,annoyncements,1
2021-01-27,annoyncements,1
2024-02-24,annoyncements,2
2022-07-30,annoyncements,2
2019-09-08,bot-shrine,105
2024-01-21,annoyncements,2
2020-02-03,annoyncements,1
2020-10-16,annoyncements,1
2019-02-24,annoyncements,1
2019-05-28,annoyncements,1
2023-10-06,annoyncements,6
2024-10-01,annoyncements,1
2021-01-22,annoyncements,3
2019-03-14,annoyncements,1
2021-02-04,annoyncements,3
2019-04-01,bot-shrine,146
2020-02-05,annoyncements,1
2023-06-02,annoyncements,1
2020-01-25,annoyncements,1
2020-04-01,annoyncements,1
2021-02-19,annoyncements,2
2023-10-26,annoyncements,6
2021-11-29,annoyncements,2
2024-10-17,annoyncements,1
2021-03-23,annoyncements,1
2019-12-13,bot-shrine,32
2019-06-14,bot-shrine,20
2019-06-24,bot-shrine,67
2021-02-06,annoyncements,2
2019-08-23,bot-shrine,82
2023-12-01,annoyncements,1
2021-04-11,annoyncements,2
2019-03-15,bot-shrine,194
2024-05-23,annoyncements,1
2021-07-20,annoyncements,2
2019-05-13,bot-shrine,41
2023-10-20,annoyncements,1
2024-07-02,annoyncements,1
2020-07-25,annoyncements,2
2019-02-07,annoyncements,8
2019-05-26,bot-shrine,23
2019-05-11,annoyncements,1
2019-10-01,annoyncements,2
2023-07-09,annoyncements,1
2020-01-08,annoyncements,1
2024-06-18,annoyncements,1
2019-09-12,bot-shrine,159
2023-12-28,annoyncements,1
2023-07-02,annoyncements,2
2024-03-29,annoyncements,2
2024-07-22,annoyncements,1
2024-09-29,annoyncements,2
2021-05-06,annoyncements,1
2024-06-03,annoyncements,1
2019-09-04,annoyncements,1
2021-06-30,annoyncements,2
2019-12-12,bot-shrine,146
2023-03-30,annoyncements,1
2023-11-06,annoyncements,1
2019-10-17,bot-shrine,94
2022-04-19,annoyncements,2
2022-09-17,annoyncements,1
2024-10-22,annoyncements,1
2020-09-05,annoyncements,3
2020-03-28,annoyncements,1
2022-12-06,annoyncements,2
2021-02-03,annoyncements,2
2019-10-22,bot-shrine,26
2019-09-03,bot-shrine,39
2019-12-22,bot-shrine,26
2020-05-21,annoyncements,1
2024-02-07,annoyncements,1
2019-06-14,annoyncements,1
2021-12-01,annoyncements,4
2019-03-10,annoyncements,1
2023-02-23,annoyncements,1
2019-10-23,annoyncements,1
2022-02-07,annoyncements,3
2024-05-12,annoyncements,1
2019-02-21,annoyncements,1
2024-07-30,annoyncements,1
2019-10-25,bot-shrine,56
2022-08-15,annoyncements,2
2024-05-24,annoyncements,1
2019-07-06,bot-shrine,62
2024-02-01,annoyncements,1
2020-09-27,annoyncements,1
2023-01-24,annoyncements,2
2022-05-11,annoyncements,2
2022-10-31,annoyncements,2
2023-12-19,annoyncements,1
2020-08-19,annoyncements,1
2021-05-17,annoyncements,1
2021-12-13,annoyncements,3
2020-10-01,annoyncements,2
2020-11-18,annoyncements,2
2021-06-24,annoyncements,3
2019-10-18,annoyncements,1
2022-04-10,annoyncements,2
2023-11-08,annoyncements,1
2019-08-14,bot-shrine,117
2019-11-21,annoyncements,1
2021-09-30,annoyncements,4
2019-10-29,annoyncements,2
2020-03-25,annoyncements,4
2019-04-23,bot-shrine,50
2022-09-05,annoyncements,3
2024-03-31,annoyncements,1
2021-10-13,annoyncements,1
2019-07-29,bot-shrine,117
2019-07-31,annoyncements,4
2024-06-19,annoyncements,1
2022-11-24,annoyncements,1
2024-09-15,annoyncements,2
2021-04-15,annoyncements,3
2019-05-31,annoyncements,1
2022-06-07,annoyncements,2
2021-01-16,annoyncements,2
2019-11-05,bot-shrine,12
2022-10-15,annoyncements,1
2019-06-08,annoyncements,1
2024-09-21,annoyncements,1
2024-06-20,annoyncements,2
2019-08-08,annoyncements,2
2020-04-09,annoyncements,1
2021-03-22,annoyncements,1
2021-06-11,annoyncements,1
2021-03-27,annoyncements,1
2023-05-02,annoyncements,3
2024-08-02,annoyncements,1
2020-05-27,annoyncements,2
2021-08-18,annoyncements,4
2021-11-20,annoyncements,4
2023-08-03,annoyncements,1
2021-08-03,annoyncements,2
2020-04-13,annoyncements,1
2023-06-14,annoyncements,1
2023-01-01,annoyncements,2
2023-11-24,annoyncements,3
2023-12-24,annoyncements,1
2019-07-22,bot-shrine,388
2021-01-25,annoyncements,2
2020-12-20,annoyncements,2
2020-12-26,annoyncements,2
2019-09-13,annoyncements,1
2023-01-09,annoyncements,2
2024-10-08,annoyncements,2
2020-05-31,annoyncements,1
2020-11-22,annoyncements,3
2024-09-08,annoyncements,2
2020-09-08,annoyncements,1
2023-02-11,annoyncements,1
2019-10-08,bot-shrine,44
2020-02-13,annoyncements,2
2020-09-04,annoyncements,1
2021-10-25,annoyncements,1
2020-09-23,annoyncements,3
2021-11-19,annoyncements,1
2019-07-20,annoyncements,2
2021-01-29,annoyncements,1
2019-08-29,annoyncements,1
2019-12-29,bot-shrine,6
2021-11-22,annoyncements,1
2022-01-23,annoyncements,3
2019-04-08,bot-shrine,60
2020-08-15,annoyncements,1
2019-05-05,annoyncements,1
2019-12-28,annoyncements,1
2019-04-20,annoyncements,1
2022-01-21,annoyncements,2
2019-08-30,bot-shrine,3
2023-06-07,annoyncements,1
2020-01-01,bot-shrine,32
2019-08-13,annoyncements,1
2020-01-19,annoyncements,2
2024-01-16,annoyncements,3
2019-09-25,annoyncements,3
2024-04-25,annoyncements,2
2019-10-22,annoyncements,1
2019-08-04,annoyncements,1
2020-03-31,annoyncements,1
2021-01-02,annoyncements,2
2019-03-13,bot-shrine,321
2023-10-22,annoyncements,1
2019-06-12,bot-shrine,12
2023-03-17,annoyncements,1
2020-09-24,annoyncements,1
2024-02-19,annoyncements,1
2019-10-07,bot-shrine,28
2020-10-11,annoyncements,2
2019-08-11,bot-shrine,263
2019-03-26,bot-shrine,66
2020-01-10,annoyncements,3
2020-01-02,bot-shrine,35
2024-09-18,annoyncements,2
2020-02-20,annoyncements,1
2019-05-09,annoyncements,1
2023-12-30,annoyncements,1
2024-07-08,annoyncements,1
2020-11-21,annoyncements,3
2019-09-06,annoyncements,1
2023-09-10,annoyncements,2
2019-11-12,annoyncements,1
2019-05-05,bot-shrine,19
2020-07-20,annoyncements,1
2019-11-28,annoyncements,2
2020-08-07,annoyncements,1
2020-10-03,annoyncements,2
2019-05-21,annoyncements,1
2023-03-26,annoyncements,3
2019-05-12,annoyncements,2
2020-03-12,annoyncements,1
2020-12-07,annoyncements,2
2023-07-25,annoyncements,1
2021-11-27,annoyncements,1
2023-02-21,annoyncements,1
2020-01-13,annoyncements,1
2019-02-13,annoyncements,2
2019-05-13,annoyncements,1
2022-01-28,annoyncements,2
2024-04-03,annoyncements,3
2021-12-02,annoyncements,2
2024-10-10,annoyncements,2
2023-04-09,annoyncements,2
2024-01-05,annoyncements,1
2019-12-27,bot-shrine,18
2023-07-30,annoyncements,1
2021-02-20,annoyncements,3
2023-01-20,annoyncements,1
2024-01-14,annoyncements,1
2024-10-27,annoyncements,2
2020-12-27,annoyncements,2
2023-08-26,annoyncements,2
2024-11-11,annoyncements,1
2019-08-31,bot-shrine,53
2022-09-04,annoyncements,7
2019-07-11,annoyncements,1
2021-09-28,annoyncements,1
2019-11-19,bot-shrine,39
2019-02-28,annoyncements,1
2020-05-14,annoyncements,1
2019-03-16,annoyncements,1
2020-09-06,annoyncements,1
2020-10-26,annoyncements,1
2020-11-24,annoyncements,2
2020-10-09,annoyncements,1
2020-02-16,annoyncements,1
2019-02-17,annoyncements,1
2024-08-22,annoyncements,1
2019-11-04,annoyncements,1
2019-05-22,bot-shrine,22
2021-01-11,annoyncements,2
2022-01-08,annoyncements,1
2022-12-07,annoyncements,3
2019-11-07,bot-shrine,35
2024-09-02,annoyncements,1
2019-05-19,annoyncements,1
2019-02-23,annoyncements,1
2024-02-13,annoyncements,2
2019-02-16,annoyncements,1
2021-12-16,annoyncements,2
2021-07-17,annoyncements,4
2023-07-22,annoyncements,1
2019-02-14,annoyncements,1
2019-10-28,bot-shrine,7
2021-05-22,annoyncements,1
2019-08-25,bot-shrine,163
2020-08-02,annoyncements,1
2022-06-24,annoyncements,2
2022-05-19,annoyncements,3
2021-11-13,annoyncements,3
2021-05-10,annoyncements,1
2019-08-18,bot-shrine,109
2020-12-04,annoyncements,2
2022-06-21,annoyncements,1
2024-08-08,annoyncements,1
2024-10-12,annoyncements,1
2019-03-17,annoyncements,1
2023-10-16,annoyncements,2
2019-03-23,bot-shrine,106
2019-06-04,annoyncements,2
2019-12-06,annoyncements,1
2021-09-27,annoyncements,4
2023-08-30,annoyncements,1
2023-04-05,annoyncements,1
2019-11-09,bot-shrine,4
2019-02-19,annoyncements,2
2024-11-02,annoyncements,1
2020-11-12,annoyncements,1
2021-12-18,annoyncements,1
2019-03-18,bot-shrine,512
2024-06-26,annoyncements,3
2019-03-30,bot-shrine,42
2022-03-23,annoyncements,3
2021-08-04,annoyncements,2
2019-11-14,annoyncements,1
2020-10-07,annoyncements,2
2022-02-05,annoyncements,1
2023-10-14,annoyncements,2
2022-11-29,annoyncements,1
2020-05-26,annoyncements,1
2021-10-09,annoyncements,5
2024-08-26,annoyncements,3
2023-07-03,annoyncements,2
2019-04-17,annoyncements,3
2023-09-02,annoyncements,1
2019-05-30,bot-shrine,84
2019-10-31,annoyncements,1
2019-11-09,annoyncements,1
2022-12-10,annoyncements,3
